Datum;Temperatur;Oelverbrauch
2024-11-18;0.90;105.89
2024-11-19;-12.66;106.15
2024-11-20;4.87;106.40
2024-11-21;-2.05;106.64
2024-11-22;-9.14;106.88
2024-11-23;6.50;107.10
2024-11-24;-0.44;107.32
2024-11-25;-13.22;107.53
2024-11-26;-2.40;107.73
2024-11-27;-7.62;107.92
2024-11-28;-3.50;108.11
2024-11-29;-6.47;108.28
2024-11-30;2.64;108.45
2024-12-01;-11.42;108.61
2024-12-02;-2.79;108.76
2024-12-03;4.62;108.90
2024-12-04;-8.65;109.04
2024-12-05;-3.53;109.16
2024-12-06;-3.63;109.28
2024-12-07;-8.14;109.39
2024-12-08;-1.50;109.49
2024-12-09;-4.30;109.58
2024-12-10;-9.55;109.66
2024-12-11;3.94;109.73
2024-12-12;-0.94;109.80
2024-12-13;-5.76;109.85
2024-12-14;-8.13;109.90
2024-12-15;-8.89;109.94
2024-12-16;1.17;109.97
2024-12-17;-5.73;109.99
2024-12-18;-2.70;110.00
2024-12-19;-5.92;110.00
2024-12-20;-1.91;109.99
2024-12-21;-5.57;109.98
2024-12-22;-1.16;109.95
2024-12-23;-5.88;109.92
2024-12-24;-0.79;109.88
2024-12-25;-1.55;109.83
2024-12-26;-5.47;109.77
2024-12-27;-9.15;109.70
2024-12-28;-9.51;109.62
2024-12-29;-8.47;109.53
2024-12-30;-9.64;109.44
2024-12-31;-0.34;109.34
