Datum;Tagestemperatur
2024-11-11;18.04
2024-11-12;19.36
2024-11-13;17.38
2024-11-14;18.65
2024-11-15;17.74
2024-11-16;18.19
2024-11-17;19.19
2024-11-18;16.36
2024-11-19;22.18
2024-11-20;15.99
2024-11-21;15.57
2024-11-22;20.32
2024-11-23;19.58
2024-11-24;19.25
2024-11-25;19.26
2024-11-26;17.98
2024-11-27;16.21
2024-11-28;18.15
2024-11-29;16.65
2024-11-30;19.95
2024-12-01;17.71
2024-12-02;16.35
2024-12-03;17.36
2024-12-04;18.83
2024-12-05;16.87
2024-12-06;16.36
2024-12-07;18.49
2024-12-08;18.49
2024-12-09;16.99
2024-12-10;17.06
2024-12-11;18.46
2024-12-12;15.1
2024-12-13;15.19
2024-12-14;16.56
2024-12-15;17.57
2024-12-16;18.62
2024-12-17;20.95
2024-12-18;19.72
2024-12-19;17.68
2024-12-20;17.96
2024-12-21;15.99
2024-12-22;17.96
2024-12-23;17.42
2024-12-24;18.65
2024-12-25;16.35
2024-12-26;19.04
2024-12-27;21.07
2024-12-28;17.78
2024-12-29;18.8
2024-12-30;19.38
2024-12-31;17.2
